Time,Activo,SPOT,absorption_score,exhaustion_score,failed_squeeze_flag,bullish_absorption,bearish_absorption,dealer_absorption
2026-06-21 20:53:45,NQ,30609.5,30.0,35.0,0,0,0,0
2026-06-21 20:54:45,NQ,30611.0,0.0,35.0,0,0,0,0
2026-06-21 20:55:45,NQ,30618.0,0.0,35.0,0,0,0,0
2026-06-21 20:56:45,NQ,30619.25,0.0,0.0,0,0,0,0
2026-06-21 20:57:45,NQ,30621.0,0.0,0.0,0,0,0,0
2026-06-21 20:58:45,NQ,30610.0,30.0,0.0,0,0,0,0
2026-06-21 20:59:45,NQ,30611.75,0.0,0.0,0,0,0,0
2026-06-21 21:00:45,NQ,30609.5,30.0,60.0,0,0,0,0
2026-06-21 21:01:45,NQ,30606.0,30.0,40.0,0,0,0,0
2026-06-21 21:02:45,NQ,30600.5,30.0,0.0,0,0,0,0
2026-06-21 21:03:45,NQ,30604.5,0.0,0.0,0,0,0,0
2026-06-21 21:04:45,NQ,30604.5,30.0,0.0,0,0,0,0
2026-06-21 21:05:45,NQ,30610.5,0.0,15.0,0,0,0,0
2026-06-21 21:06:45,NQ,30612.25,0.0,15.0,0,0,0,0
2026-06-21 21:07:45,NQ,30619.75,0.0,35.0,0,0,0,0
2026-06-21 21:08:45,NQ,30621.75,0.0,15.0,0,0,0,0
2026-06-21 21:09:45,NQ,30621.5,30.0,0.0,0,0,0,0
2026-06-21 21:10:45,NQ,30614.0,30.0,0.0,0,0,0,0
2026-06-21 21:11:45,NQ,30607.5,30.0,0.0,0,0,0,0
2026-06-21 21:12:45,NQ,30600.0,30.0,15.0,0,0,0,0
2026-06-21 21:13:45,NQ,30602.25,0.0,35.0,0,0,0,0
2026-06-21 21:14:45,NQ,30601.5,30.0,35.0,0,0,0,0
2026-06-21 21:15:45,NQ,30595.5,30.0,35.0,0,0,0,0
2026-06-21 21:16:45,NQ,30604.75,0.0,0.0,0,0,0,0
2026-06-21 21:17:45,NQ,30605.0,0.0,0.0,0,0,0,0
2026-06-21 21:18:45,NQ,30606.75,20.0,25.0,0,0,0,0
2026-06-21 21:19:45,NQ,30608.5,20.0,25.0,0,0,0,0
2026-06-21 21:20:45,NQ,30604.75,70.0,0.0,0,1,0,0
2026-06-21 21:21:45,NQ,30599.0,70.0,0.0,0,1,0,0
2026-06-21 21:22:45,NQ,30618.25,40.0,0.0,0,0,0,0
2026-06-21 21:23:45,NQ,30616.75,50.0,0.0,0,1,0,0
2026-06-21 21:24:45,NQ,30620.25,40.0,0.0,0,0,0,0
2026-06-21 21:25:45,NQ,30613.75,70.0,15.0,0,1,0,0
2026-06-21 21:26:45,NQ,30611.0,70.0,35.0,0,1,0,0
2026-06-21 21:27:45,NQ,30596.25,50.0,35.0,0,1,0,0
